name,0,27,43,70,84
Afghanistan,26,23,24,15,8
America,19,20,33,45,40
Arabia,48,53,55,55,55
Argentina,39,16,16,16,16
Armenia,57,49,49,40,38
Ashanti,50,50,52,46,23
Australia,1,2,5,7,4
Ayyyyyubids,51,35,21,14,20
Blackfoot,36,25,40,19,22
Boers,4,5,15,28,14
Brazil,14,27,18,13,12
Buccaneers,11,17,13,20,26
Burma,41,41,42,36,47
Byzantium,43,57,54,58,56
Canada,6,8,10,10,11
Carthage,42,43,59,57,58
Champa,58,59,57,60,57
Chile,8,24,23,21,13
China,3,7,2,4,9
England,52,55,56,54,50
Ethiopia,13,10,7,3,2
Finland,59,56,53,44,44
France,18,14,27,17,24
Germany,37,15,19,31,28
Hawaii,45,46,50,51,52
Iceland,55,33,28,22,29
Inca,20,39,47,41,35
Indonesia,56,52,58,59,59
Inuit,2,4,6,6,7
Ireland,49,18,12,18,31
Israel,27,26,22,49,51
Japan,35,48,32,29,39
Kimberely,10,6,3,2,3
Kongo,32,31,38,32,42
Korea,38,58,61,61,60
Mali,54,51,51,50,48
Maori,24,28,31,35,45
Mayans,21,36,39,25,25
Mexico,28,38,30,26,17
Mongolia,9,19,36,27,30
Morocco,61,61,44,42,37
Mughals,16,3,4,8,6
Norway,46,44,48,53,36
Persia,33,32,34,33,43
Philippines,30,34,41,38,41
Poland,12,13,25,39,33
Portugal,53,54,46,37,27
Rome,31,29,45,56,61
Sibir,34,30,26,23,19
Sioux,23,21,9,5,5
SPARTA,40,11,14,11,18
Sri_Lanka,22,12,8,9,21
Sweden,60,60,60,52,53
Texas,47,42,29,34,49
The_Huns,17,37,20,12,10
Tibet,29,40,43,47,54
Timurids,44,47,35,30,15
USSR,5,9,11,48,34
Vietnam,25,22,17,24,32
Yakutia,7,1,1,1,1
Zulus,15,45,37,43,46
